Year,Quarter,LGA (Local Government Areas),Dwelling Types,Bedroom Numbers,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2019,2,Bathurst Regional,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2019,2,Bathurst Regional,Townhouse,2 Bedrooms,310,340,355,s,84.00,21.43%,21.43%,85.71%,44.44%
2019,2,Bathurst Regional,Townhouse,3 Bedrooms,-,-,-,-,113.00,-,-,-,-
2019,2,Bathurst Regional,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2019,2,Bathurst Regional,Flat/Unit,Total,230,260,310,107.00,1177.00,0.00%,0.00%,-19.55%,-6.96%
2019,2,Bathurst Regional,Flat/Unit,Bedsitter,-,-,-,-,s,-,-,-,-
2019,2,Bathurst Regional,Flat/Unit,1 Bedroom,175,200,235,s,240.00,0.00%,6.67%,-50.00%,-32.14%
2019,2,Bathurst Regional,Flat/Unit,Not Specified,-,-,-,-,93.00,-,-,-,-
2019,2,Bathurst Regional,Flat/Unit,2 Bedrooms,250,270,300,65.00,672.00,-1.82%,1.89%,-5.80%,-4.41%
2019,2,Bathurst Regional,Flat/Unit,3 Bedrooms,-,-,-,-,139.00,-,-,-,-
2019,2,Bathurst Regional,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Bega Valley,Total,Total,298,350,390,227.00,2250.00,2.94%,2.94%,11.82%,-5.42%
2019,2,Bega Valley,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Bega Valley,Total,1 Bedroom,180,210,250,s,139.00,2.44%,5.00%,-22.73%,13.33%
2019,2,Bega Valley,Total,Not Specified,-,-,-,-,84.00,-,-,-,-
2019,2,Bega Valley,Total,2 Bedrooms,264,300,321,76.00,791.00,0.00%,7.14%,13.43%,-12.64%
2019,2,Bega Valley,Total,3 Bedrooms,330,360,400,97.00,928.00,-2.70%,0.00%,11.49%,-4.90%
2019,2,Bega Valley,Total,4 or more Bedrooms,400,440,458,34.00,304.00,-4.35%,10.00%,30.77%,0.00%
2019,2,Bega Valley,House,Total,330,360,420,124.00,1195.00,-5.26%,0.00%,25.25%,-7.46%
2019,2,Bega Valley,House,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Bega Valley,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2019,2,Bega Valley,House,Not Specified,-,-,-,-,34.00,-,-,-,-
2019,2,Bega Valley,House,2 Bedrooms,290,300,350,s,181.00,-14.29%,-3.23%,54.55%,-19.05%
2019,2,Bega Valley,House,3 Bedrooms,340,360,400,68.00,686.00,-2.70%,2.86%,9.68%,-13.92%
2019,2,Bega Valley,House,4 or more Bedrooms,400,440,460,33.00,275.00,-4.35%,10.00%,32.00%,6.45%
2019,2,Bega Valley,Other,Total,-,-,-,-,139.00,-,-,-,-
2019,2,Bega Valley,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Bega Valley,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2019,2,Bega Valley,Other,Not Specified,-,-,-,-,s,-,-,-,-
2019,2,Bega Valley,Other,2 Bedrooms,-,-,-,-,46.00,-,-,-,-
2019,2,Bega Valley,Other,3 Bedrooms,-,-,-,-,41.00,-,-,-,-
2019,2,Bega Valley,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2019,2,Bega Valley,Townhouse,Total,320,360,390,s,155.00,-13.77%,4.35%,-6.25%,-16.67%
2019,2,Bega Valley,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Bega Valley,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
