Year,Quarter,LGA (Local Government Areas),Dwelling Types,Bedroom Numbers,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2018,4,Total,Flat/Unit,Not Specified,420,560,700,351.00,6702.00,-5.08%,1.82%,-16.82%,-12.25%
2018,4,Total,Flat/Unit,2 Bedrooms,600,695,790,5142.00,51024.00,-0.71%,-0.71%,-12.22%,17.72%
2018,4,Total,Flat/Unit,3 Bedrooms,820,960,1200,855.00,8232.00,-1.54%,-4.00%,-7.87%,15.85%
2018,4,Total,Flat/Unit,4 or more Bedrooms,1000,1290,1700,59.00,547.00,17.27%,1.38%,-7.81%,40.48%
2018,4,Inner West,Total,Total,450,550,725,2683.00,30356.00,-3.51%,-1.79%,-14.85%,7.15%
2018,4,Inner West,Total,Bedsitter,251,340,395,97.00,935.00,4.62%,3.03%,-4.90%,36.62%
2018,4,Inner West,Total,1 Bedroom,370,430,511,764.00,7021.00,-4.44%,-2.27%,-14.92%,13.02%
2018,4,Inner West,Total,Not Specified,390,505,700,114.00,3722.00,-8.18%,0.00%,-31.33%,-41.24%
2018,4,Inner West,Total,2 Bedrooms,495,590,680,1135.00,12871.00,-1.67%,-1.67%,-16.36%,6.97%
2018,4,Inner West,Total,3 Bedrooms,730,847,950,428.00,4514.00,-0.33%,-0.45%,-12.83%,15.99%
2018,4,Inner West,Total,4 or more Bedrooms,875,1000,1250,145.00,1293.00,-9.09%,-10.71%,5.84%,9.02%
2018,4,Inner West,House,Total,650,780,920,693.00,6038.00,0.00%,-2.50%,-9.41%,16.86%
2018,4,Inner West,House,Bedsitter,-,-,-,-,44.00,-,-,-,-
2018,4,Inner West,House,1 Bedroom,384,460,558,38.00,290.00,-6.12%,2.22%,-30.91%,-13.64%
2018,4,Inner West,House,Not Specified,-,-,-,-,268.00,-,-,-,-
2018,4,Inner West,House,2 Bedrooms,610,680,750,237.00,2030.00,0.00%,-2.86%,-8.49%,17.33%
2018,4,Inner West,House,3 Bedrooms,750,850,950,291.00,2441.00,0.00%,-4.49%,-8.49%,35.98%
2018,4,Inner West,House,4 or more Bedrooms,851,1000,1244,110.00,965.00,-9.09%,-9.91%,-2.65%,-5.17%
2018,4,Inner West,Other,Total,334,500,650,168.00,4606.00,-7.41%,0.00%,-18.45%,-23.98%
2018,4,Inner West,Other,Bedsitter,220,220,305,s,298.00,-13.89%,-21.43%,-28.57%,17.65%
2018,4,Inner West,Other,1 Bedroom,205,297,450,38.00,639.00,-19.86%,-21.97%,0.00%,-7.32%
2018,4,Inner West,Other,Not Specified,420,555,748,70.00,2444.00,-12.60%,4.72%,-32.69%,-39.13%
2018,4,Inner West,Other,2 Bedrooms,493,555,650,s,848.00,-7.50%,-0.45%,36.84%,-18.75%
2018,4,Inner West,Other,3 Bedrooms,-,-,-,-,304.00,-,-,-,-
2018,4,Inner West,Other,4 or more Bedrooms,-,-,-,-,73.00,-,-,-,-
2018,4,Inner West,Townhouse,Total,650,750,958,162.00,2555.00,0.00%,2.74%,-19.80%,-17.35%
2018,4,Inner West,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2018,4,Inner West,Townhouse,1 Bedroom,-,-,-,-,168.00,-,-,-,-
2018,4,Inner West,Townhouse,Not Specified,-,-,-,-,95.00,-,-,-,-
2018,4,Inner West,Townhouse,2 Bedrooms,603,660,729,70.00,1190.00,-4.35%,-5.04%,-27.84%,-28.57%
2018,4,Inner West,Townhouse,3 Bedrooms,760,870,1010,59.00,917.00,-2.25%,2.35%,-20.27%,-19.18%
2018,4,Inner West,Townhouse,4 or more Bedrooms,1000,1150,1300,s,182.00,4.55%,-9.80%,75.00%,110.00%
2018,4,Inner West,Flat/Unit,Total,415,495,595,1660.00,17157.00,-1.00%,-1.00%,-16.08%,11.11%
2018,4,Inner West,Flat/Unit,Bedsitter,300,350,400,67.00,590.00,0.00%,6.06%,6.35%,31.37%
2018,4,Inner West,Flat/Unit,1 Bedroom,375,430,510,681.00,5924.00,-4.44%,-2.27%,-13.69%,17.01%
2018,4,Inner West,Flat/Unit,Not Specified,320,353,463,32.00,915.00,-19.89%,-23.37%,-36.00%,-45.76%
2018,4,Inner West,Flat/Unit,2 Bedrooms,475,533,650,802.00,8803.00,-3.18%,-3.18%,-18.33%,10.01%
2018,4,Inner West,Flat/Unit,3 Bedrooms,620,750,900,69.00,852.00,-3.54%,-5.06%,-19.77%,-1.43%
2018,4,Inner West,Flat/Unit,4 or more Bedrooms,-,-,-,-,73.00,-,-,-,-
2018,4,Lane Cove,Total,Total,490,550,680,440.00,4696.00,-4.35%,-5.17%,-14.40%,6.28%
2018,4,Lane Cove,Total,Bedsitter,-,-,-,-,s,-,-,-,-
2018,4,Lane Cove,Total,1 Bedroom,430,490,525,126.00,919.00,-2.00%,-5.77%,-0.79%,27.27%
2018,4,Lane Cove,Total,Not Specified,485,550,630,s,350.00,-5.17%,1.85%,83.33%,0.00%
2018,4,Lane Cove,Total,2 Bedrooms,500,550,636,208.00,2329.00,-1.79%,-3.93%,-20.61%,2.97%
2018,4,Lane Cove,Total,3 Bedrooms,650,800,884,62.00,766.00,-5.88%,-2.44%,-18.42%,-10.14%
2018,4,Lane Cove,Total,4 or more Bedrooms,1000,1400,1550,s,302.00,16.67%,3.70%,-27.50%,-9.37%
2018,4,Lane Cove,House,Total,723,860,1225,75.00,726.00,-9.95%,-6.01%,-8.54%,-6.25%
2018,4,Lane Cove,House,Bedsitter,-,-,-,-,-,-,-,-,-
2018,4,Lane Cove,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2018,4,Lane Cove,House,Not Specified,-,-,-,-,51.00,-,-,-,-
2018,4,Lane Cove,House,2 Bedrooms,505,580,723,s,91.00,-10.77%,-22.67%,66.67%,66.67%
2018,4,Lane Cove,House,3 Bedrooms,795,855,955,s,286.00,-6.04%,-5.00%,-17.65%,-15.15%
2018,4,Lane Cove,House,4 or more Bedrooms,988,1375,1513,s,268.00,5.77%,-1.79%,-17.65%,-3.45%
2018,4,Lane Cove,Other,Total,415,495,570,s,244.00,-1.00%,-9.59%,120.00%,-21.43%
2018,4,Lane Cove,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2018,4,Lane Cove,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
2018,4,Lane Cove,Other,Not Specified,-,-,-,-,85.00,-,-,-,-
2018,4,Lane Cove,Other,2 Bedrooms,-,-,-,-,89.00,-,-,-,-
2018,4,Lane Cove,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2018,4,Lane Cove,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2018,4,Lane Cove,Townhouse,Total,665,690,815,s,294.00,-16.87%,6.98%,0.00%,-8.33%
2018,4,Lane Cove,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2018,4,Lane Cove,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
2018,4,Lane Cove,Townhouse,Not Specified,-,-,-,-,s,-,-,-,-
2018,4,Lane Cove,Townhouse,2 Bedrooms,-,-,-,-,141.00,-,-,-,-
2018,4,Lane Cove,Townhouse,3 Bedrooms,-,-,-,-,112.00,-,-,-,-
2018,4,Lane Cove,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,4,Lane Cove,Flat/Unit,Total,475,530,600,343.00,3432.00,-3.64%,-3.64%,-17.55%,11.36%
2018,4,Lane Cove,Flat/Unit,Bedsitter,-,-,-,-,s,-,-,-,-
2018,4,Lane Cove,Flat/Unit,1 Bedroom,430,490,525,117.00,845.00,-2.00%,-5.77%,-2.50%,36.05%
2018,4,Lane Cove,Flat/Unit,Not Specified,-,-,-,-,202.00,-,-,-,-
2018,4,Lane Cove,Flat/Unit,2 Bedrooms,500,550,630,186.00,2008.00,-1.79%,-3.51%,-25.90%,0.00%
2018,4,Lane Cove,Flat/Unit,3 Bedrooms,600,663,803,s,342.00,-17.19%,-11.67%,-20.00%,-3.45%
2018,4,Lane Cove,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2018,4,Mosman,Total,Total,500,640,950,363.00,3943.00,1.59%,5.35%,-18.43%,-6.44%
2018,4,Mosman,Total,Bedsitter,-,-,-,-,41.00,-,-,-,-
2018,4,Mosman,Total,1 Bedroom,440,485,525,121.00,1108.00,1.04%,-3.00%,-5.47%,-3.97%
2018,4,Mosman,Total,Not Specified,475,620,1500,s,383.00,10.71%,-11.43%,-60.61%,-65.79%
2018,4,Mosman,Total,2 Bedrooms,595,650,780,128.00,1599.00,-3.35%,0.00%,-33.33%,-9.86%
2018,4,Mosman,Total,3 Bedrooms,938,1150,1496,60.00,543.00,9.52%,4.55%,20.00%,7.14%
2018,4,Mosman,Total,4 or more Bedrooms,1356,1925,2713,34.00,269.00,-14.44%,-19.79%,-8.11%,61.90%
2018,4,Mosman,House,Total,1138,1575,2500,56.00,475.00,0.00%,-1.56%,-12.50%,7.69%
2018,4,Mosman,House,Bedsitter,-,-,-,-,-,-,-,-,-
2018,4,Mosman,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2018,4,Mosman,House,Not Specified,-,-,-,-,43.00,-,-,-,-
2018,4,Mosman,House,2 Bedrooms,-,-,-,-,41.00,-,-,-,-
2018,4,Mosman,House,3 Bedrooms,988,1400,1700,s,136.00,16.67%,-3.45%,-15.79%,14.29%
2018,4,Mosman,House,4 or more Bedrooms,1338,2000,2875,31.00,243.00,-11.11%,-21.57%,-11.43%,55.00%
2018,4,Mosman,Other,Total,-,-,-,-,320.00,-,-,-,-
2018,4,Mosman,Other,Bedsitter,-,-,-,-,s,-,-,-,-
2018,4,Mosman,Other,1 Bedroom,-,-,-,-,64.00,-,-,-,-
2018,4,Mosman,Other,Not Specified,-,-,-,-,115.00,-,-,-,-
2018,4,Mosman,Other,2 Bedrooms,-,-,-,-,84.00,-,-,-,-
2018,4,Mosman,Other,3 Bedrooms,-,-,-,-,40.00,-,-,-,-
2018,4,Mosman,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,4,Mosman,Townhouse,Total,905,1100,1450,s,193.00,28.65%,3.77%,18.75%,18.75%
2018,4,Mosman,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2018,4,Mosman,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,4,Mosman,Townhouse,Not Specified,-,-,-,-,s,-,-,-,-
2018,4,Mosman,Townhouse,2 Bedrooms,-,-,-,-,49.00,-,-,-,-
2018,4,Mosman,Townhouse,3 Bedrooms,-,-,-,-,110.00,-,-,-,-
2018,4,Mosman,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2018,4,Mosman,Flat/Unit,Total,486,595,720,278.00,2955.00,0.00%,2.59%,-21.91%,-8.55%
2018,4,Mosman,Flat/Unit,Bedsitter,-,-,-,-,s,-,-,-,-
2018,4,Mosman,Flat/Unit,1 Bedroom,440,483,524,118.00,1026.00,0.52%,-3.50%,-4.07%,1.72%
2018,4,Mosman,Flat/Unit,Not Specified,-,-,-,-,210.00,-,-,-,-
2018,4,Mosman,Flat/Unit,2 Bedrooms,595,650,750,117.00,1425.00,-1.52%,0.00%,-33.90%,-8.59%
2018,4,Mosman,Flat/Unit,3 Bedrooms,850,1000,1300,33.00,257.00,5.26%,-9.09%,43.48%,6.45%
2018,4,Mosman,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,4,North Sydney,Total,Total,525,630,795,1541.00,16142.00,-1.56%,-3.08%,-7.89%,3.49%
2018,4,North Sydney,Total,Bedsitter,400,433,495,58.00,572.00,0.58%,0.58%,-6.45%,5.45%
2018,4,North Sydney,Total,1 Bedroom,465,520,600,493.00,4789.00,0.00%,0.00%,-11.33%,-5.01%
2018,4,North Sydney,Total,Not Specified,503,630,850,114.00,1585.00,0.00%,-3.82%,5.56%,10.68%
2018,4,North Sydney,Total,2 Bedrooms,600,680,770,640.00,6730.00,-2.16%,-2.86%,-5.33%,6.67%
2018,4,North Sydney,Total,3 Bedrooms,829,980,1200,196.00,2175.00,0.51%,0.00%,-14.78%,3.16%
2018,4,North Sydney,Total,4 or more Bedrooms,1375,1680,2050,40.00,291.00,20.00%,4.19%,-2.44%,81.82%
2018,4,North Sydney,House,Total,725,1000,1500,119.00,800.00,0.00%,11.11%,9.17%,17.82%
2018,4,North Sydney,House,Bedsitter,-,-,-,-,-,-,-,-,-
2018,4,North Sydney,House,1 Bedroom,-,-,-,-,74.00,-,-,-,-
2018,4,North Sydney,House,Not Specified,-,-,-,-,70.00,-,-,-,-
2018,4,North Sydney,House,2 Bedrooms,650,723,830,s,185.00,-13.73%,-6.77%,25.00%,-16.67%
2018,4,North Sydney,House,3 Bedrooms,950,1098,1338,42.00,311.00,-0.23%,-0.23%,-12.50%,50.00%
2018,4,North Sydney,House,4 or more Bedrooms,1600,1700,2225,s,152.00,6.25%,5.43%,30.43%,114.29%
2018,4,North Sydney,Other,Total,460,610,728,31.00,1147.00,5.63%,-2.79%,-42.59%,-51.56%
2018,4,North Sydney,Other,Bedsitter,-,-,-,-,69.00,-,-,-,-
2018,4,North Sydney,Other,1 Bedroom,-,-,-,-,248.00,-,-,-,-
2018,4,North Sydney,Other,Not Specified,503,590,751,s,393.00,-2.48%,-18.06%,-30.00%,-33.33%
2018,4,North Sydney,Other,2 Bedrooms,-,-,-,-,310.00,-,-,-,-
2018,4,North Sydney,Other,3 Bedrooms,-,-,-,-,107.00,-,-,-,-
2018,4,North Sydney,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2018,4,North Sydney,Townhouse,Total,750,878,1050,90.00,919.00,-2.50%,-0.28%,-8.16%,4.65%
2018,4,North Sydney,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2018,4,North Sydney,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
2018,4,North Sydney,Townhouse,Not Specified,-,-,-,-,59.00,-,-,-,-
2018,4,North Sydney,Townhouse,2 Bedrooms,645,700,763,s,287.00,-7.28%,-12.50%,-17.86%,-30.30%
2018,4,North Sydney,Townhouse,3 Bedrooms,828,930,1100,47.00,479.00,3.33%,-8.15%,-7.84%,11.90%
2018,4,North Sydney,Townhouse,4 or more Bedrooms,-,-,-,-,72.00,-,-,-,-
2018,4,North Sydney,Flat/Unit,Total,510,610,730,1301.00,13276.00,0.00%,-1.61%,-7.86%,5.09%
2018,4,North Sydney,Flat/Unit,Bedsitter,400,435,495,55.00,493.00,0.00%,1.75%,-1.79%,14.58%
2018,4,North Sydney,Flat/Unit,1 Bedroom,465,520,595,474.00,4447.00,0.00%,0.00%,-10.23%,-1.86%
2018,4,North Sydney,Flat/Unit,Not Specified,473,600,795,83.00,1063.00,0.00%,-3.61%,2.47%,18.57%
2018,4,North Sydney,Flat/Unit,2 Bedrooms,600,675,765,580.00,5948.00,-1.46%,-2.17%,-5.38%,11.54%
2018,4,North Sydney,Flat/Unit,3 Bedrooms,806,963,1200,106.00,1278.00,-0.77%,4.05%,-17.83%,-6.19%
2018,4,North Sydney,Flat/Unit,4 or more Bedrooms,-,-,-,-,47.00,-,-,-,-
2018,4,Randwick,Total,Total,530,630,775,1999.00,20533.00,-1.56%,-3.08%,-5.22%,16.02%
2018,4,Randwick,Total,Bedsitter,348,370,460,s,239.00,-14.94%,-9.76%,27.78%,21.05%
2018,4,Randwick,Total,1 Bedroom,435,500,560,469.00,3879.00,0.00%,-4.76%,-5.25%,7.32%
2018,4,Randwick,Total,Not Specified,350,450,600,121.00,1762.00,-1.10%,-28.00%,4.31%,59.21%
2018,4,Randwick,Total,2 Bedrooms,585,650,725,989.00,10502.00,0.00%,-2.26%,-4.44%,17.74%
2018,4,Randwick,Total,3 Bedrooms,780,900,1000,278.00,3077.00,0.00%,-7.69%,-11.46%,11.20%
2018,4,Randwick,Total,4 or more Bedrooms,1100,1290,1600,119.00,1074.00,-0.77%,1.18%,-9.16%,17.82%
2018,4,Randwick,House,Total,700,975,1250,232.00,2121.00,-2.01%,-2.50%,-12.78%,6.91%
2018,4,Randwick,House,Bedsitter,-,-,-,-,s,-,-,-,-
2018,4,Randwick,House,1 Bedroom,405,500,535,s,83.00,35.14%,-5.21%,18.75%,90.00%
2018,4,Randwick,House,Not Specified,-,-,-,-,99.00,-,-,-,-
2018,4,Randwick,House,2 Bedrooms,613,680,765,50.00,370.00,0.74%,-9.33%,6.38%,6.38%
2018,4,Randwick,House,3 Bedrooms,850,950,1050,73.00,804.00,3.26%,-9.52%,-23.16%,-6.41%
2018,4,Randwick,House,4 or more Bedrooms,1150,1350,1600,85.00,754.00,0.00%,5.88%,-15.84%,7.59%
2018,4,Randwick,Other,Total,320,420,620,137.00,2313.00,0.00%,-30.00%,17.09%,57.47%
2018,4,Randwick,Other,Bedsitter,-,-,-,-,82.00,-,-,-,-
2018,4,Randwick,Other,1 Bedroom,180,180,380,s,298.00,-59.09%,-57.14%,91.67%,21.05%
2018,4,Randwick,Other,Not Specified,350,420,580,93.00,985.00,7.69%,-32.26%,16.25%,138.46%
2018,4,Randwick,Other,2 Bedrooms,610,635,683,s,662.00,14.93%,0.79%,100.00%,-40.00%
2018,4,Randwick,Other,3 Bedrooms,-,-,-,-,213.00,-,-,-,-
2018,4,Randwick,Other,4 or more Bedrooms,-,-,-,-,73.00,-,-,-,-
2018,4,Randwick,Townhouse,Total,708,850,1100,112.00,1169.00,-7.61%,-5.56%,38.27%,17.89%
2018,4,Randwick,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2018,4,Randwick,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
2018,4,Randwick,Townhouse,Not Specified,-,-,-,-,34.00,-,-,-,-
2018,4,Randwick,Townhouse,2 Bedrooms,675,700,750,s,354.00,-4.11%,0.00%,58.82%,0.00%
2018,4,Randwick,Townhouse,3 Bedrooms,768,850,1050,60.00,593.00,-9.57%,-11.46%,46.34%,27.66%
2018,4,Randwick,Townhouse,4 or more Bedrooms,963,1125,1375,s,156.00,-6.25%,-16.67%,46.67%,46.67%
2018,4,Randwick,Flat/Unit,Total,521,613,700,1518.00,14930.00,-1.21%,-2.00%,-7.72%,14.65%
2018,4,Randwick,Flat/Unit,Bedsitter,350,370,460,s,144.00,-17.78%,-10.84%,137.50%,5.56%
2018,4,Randwick,Flat/Unit,1 Bedroom,450,500,565,425.00,3468.00,-1.96%,-5.66%,-7.81%,5.20%
2018,4,Randwick,Flat/Unit,Not Specified,450,515,640,s,644.00,-14.17%,-10.43%,-22.58%,-25.00%
2018,4,Randwick,Flat/Unit,2 Bedrooms,580,650,720,900.00,9116.00,0.00%,-1.52%,-6.74%,20.64%
2018,4,Randwick,Flat/Unit,3 Bedrooms,750,870,998,139.00,1467.00,-1.14%,-7.45%,-18.71%,14.88%
2018,4,Randwick,Flat/Unit,4 or more Bedrooms,1048,1290,1715,s,91.00,29.00%,17.27%,22.22%,266.67%
2018,4,Sydney,Total,Total,500,630,770,6501.00,56554.00,-2.48%,1.61%,-6.18%,11.13%
2018,4,Sydney,Total,Bedsitter,365,445,478,427.00,3371.00,4.71%,4.71%,3.89%,16.03%
2018,4,Sydney,Total,1 Bedroom,475,550,625,3146.00,22528.00,-1.79%,0.00%,-5.01%,7.78%
2018,4,Sydney,Total,Not Specified,420,580,710,309.00,6141.00,-2.52%,0.87%,-9.38%,-12.96%
2018,4,Sydney,Total,2 Bedrooms,690,750,830,1983.00,18979.00,-3.23%,-3.85%,-10.92%,18.25%
2018,4,Sydney,Total,3 Bedrooms,890,995,1173,511.00,4446.00,-0.50%,-4.33%,-3.22%,20.52%
2018,4,Sydney,Total,4 or more Bedrooms,995,1200,1450,125.00,1089.00,0.00%,-2.44%,12.61%,16.82%
2018,4,Sydney,House,Total,600,790,1000,443.00,3070.00,2.60%,-7.06%,-13.81%,15.06%
2018,4,Sydney,House,Bedsitter,370,395,585,s,105.00,-3.66%,-11.24%,-48.00%,-18.75%
2018,4,Sydney,House,1 Bedroom,450,550,600,84.00,436.00,-2.22%,-0.90%,-8.70%,35.48%
2018,4,Sydney,House,Not Specified,-,-,-,-,93.00,-,-,-,-
2018,4,Sydney,House,2 Bedrooms,650,720,800,144.00,1123.00,0.00%,-4.00%,-26.90%,10.77%
2018,4,Sydney,House,3 Bedrooms,850,950,1113,135.00,892.00,-1.04%,-9.52%,-4.93%,12.50%
2018,4,Sydney,House,4 or more Bedrooms,1050,1263,1438,58.00,421.00,5.21%,1.00%,3.57%,16.00%
2018,4,Sydney,Other,Total,385,479,600,973.00,9079.00,-11.30%,4.13%,30.96%,-0.61%
2018,4,Sydney,Other,Bedsitter,432,465,487,182.00,1190.00,4.49%,7.64%,58.26%,28.17%
2018,4,Sydney,Other,1 Bedroom,380,475,580,597.00,3240.00,-13.64%,9.32%,50.38%,4.37%
2018,4,Sydney,Other,Not Specified,410,569,700,126.00,3237.00,-3.56%,-3.07%,-18.71%,-32.98%
2018,4,Sydney,Other,2 Bedrooms,680,750,830,53.00,1073.00,-5.06%,-8.54%,-7.02%,-19.70%
2018,4,Sydney,Other,3 Bedrooms,935,1100,1190,s,257.00,10.55%,-12.00%,-21.43%,57.14%
2018,4,Sydney,Other,4 or more Bedrooms,-,-,-,-,82.00,-,-,-,-
2018,4,Sydney,Townhouse,Total,670,815,1050,272.00,3667.00,-0.61%,-4.12%,-4.90%,2.64%
2018,4,Sydney,Townhouse,Bedsitter,-,-,-,-,s,-,-,-,-
2018,4,Sydney,Townhouse,1 Bedroom,450,550,600,s,475.00,6.80%,0.00%,-42.55%,-18.18%
2018,4,Sydney,Townhouse,Not Specified,-,-,-,-,155.00,-,-,-,-
2018,4,Sydney,Townhouse,2 Bedrooms,650,750,800,112.00,1564.00,0.00%,0.00%,13.13%,14.29%
2018,4,Sydney,Townhouse,3 Bedrooms,893,950,1100,75.00,1016.00,-4.52%,-2.56%,-21.05%,-12.79%
2018,4,Sydney,Townhouse,4 or more Bedrooms,1038,1200,1463,48.00,442.00,-1.03%,0.00%,71.43%,26.32%
2018,4,Sydney,Flat/Unit,Total,530,640,770,4813.00,40738.00,0.00%,1.59%,-10.64%,14.03%
2018,4,Sydney,Flat/Unit,Bedsitter,350,400,460,231.00,2061.00,-2.44%,-2.44%,-13.81%,10.53%
2018,4,Sydney,Flat/Unit,1 Bedroom,500,565,640,2438.00,18377.00,0.00%,0.44%,-12.18%,8.26%
2018,4,Sydney,Flat/Unit,Not Specified,420,585,710,165.00,2656.00,-2.50%,6.36%,-2.94%,9.27%
2018,4,Sydney,Flat/Unit,2 Bedrooms,695,750,850,1674.00,15219.00,-3.85%,-3.85%,-10.62%,21.04%
2018,4,Sydney,Flat/Unit,3 Bedrooms,900,1000,1200,290.00,2281.00,-4.76%,-7.41%,4.69%,37.44%
2018,4,Sydney,Flat/Unit,4 or more Bedrooms,700,1100,1400,s,144.00,15.18%,0.00%,-31.82%,0.00%
2018,4,Waverley,Total,Total,600,730,950,1317.00,13751.00,1.39%,-2.67%,-15.52%,13.93%
2018,4,Waverley,Total,Bedsitter,400,430,500,45.00,584.00,0.58%,2.38%,-27.42%,9.76%
2018,4,Waverley,Total,1 Bedroom,508,600,680,364.00,3104.00,0.50%,0.00%,-15.74%,19.74%
2018,4,Waverley,Total,Not Specified,475,570,728,43.00,1304.00,-18.57%,-11.63%,-30.65%,-34.85%
2018,4,Waverley,Total,2 Bedrooms,673,750,875,611.00,6551.00,0.00%,-3.54%,-17.21%,14.42%
2018,4,Waverley,Total,3 Bedrooms,983,1150,1350,190.00,1711.00,4.55%,0.00%,-8.65%,27.52%
2018,4,Waverley,Total,4 or more Bedrooms,1595,1875,2263,64.00,497.00,10.29%,9.97%,12.28%,3.23%
2018,4,Waverley,House,Total,875,1200,1685,127.00,1031.00,4.35%,6.67%,-15.33%,4.10%
2018,4,Waverley,House,Bedsitter,-,-,-,-,s,-,-,-,-
2018,4,Waverley,House,1 Bedroom,590,620,685,s,70.00,23.38%,-3.12%,30.00%,8.33%
2018,4,Waverley,House,Not Specified,-,-,-,-,66.00,-,-,-,-
2018,4,Waverley,House,2 Bedrooms,700,875,990,31.00,227.00,2.94%,-2.51%,-11.43%,-8.82%
2018,4,Waverley,House,3 Bedrooms,1050,1200,1305,44.00,362.00,0.00%,9.09%,-27.87%,41.94%
2018,4,Waverley,House,4 or more Bedrooms,1650,2000,2500,38.00,292.00,11.11%,8.11%,-2.56%,-11.63%
2018,4,Waverley,Other,Total,461,625,729,58.00,1517.00,1.70%,-11.90%,61.11%,-22.67%
2018,4,Waverley,Other,Bedsitter,-,-,-,-,154.00,-,-,-,-
2018,4,Waverley,Other,1 Bedroom,188,465,580,s,214.00,1.09%,-1.06%,114.29%,-6.25%
2018,4,Waverley,Other,Not Specified,498,650,728,s,565.00,-5.80%,-2.99%,53.33%,-8.00%
2018,4,Waverley,Other,2 Bedrooms,-,-,-,-,443.00,-,-,-,-
2018,4,Waverley,Other,3 Bedrooms,-,-,-,-,112.00,-,-,-,-
2018,4,Waverley,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2018,4,Waverley,Townhouse,Total,1050,1200,1608,38.00,618.00,9.09%,19.70%,-22.45%,-34.48%
2018,4,Waverley,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2018,4,Waverley,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
2018,4,Waverley,Townhouse,Not Specified,-,-,-,-,s,-,-,-,-
2018,4,Waverley,Townhouse,2 Bedrooms,-,-,-,-,212.00,-,-,-,-
2018,4,Waverley,Townhouse,3 Bedrooms,1100,1200,1250,s,271.00,0.00%,-2.44%,0.00%,-8.70%
2018,4,Waverley,Townhouse,4 or more Bedrooms,-,-,-,-,87.00,-,-,-,-
2018,4,Waverley,Flat/Unit,Total,600,700,850,1094.00,10585.00,0.00%,-2.78%,-17.37%,21.42%
2018,4,Waverley,Flat/Unit,Bedsitter,420,450,500,41.00,413.00,2.27%,7.14%,-19.61%,24.24%
2018,4,Waverley,Flat/Unit,1 Bedroom,520,600,680,335.00,2803.00,0.00%,0.00%,-19.08%,22.26%
2018,4,Waverley,Flat/Unit,Not Specified,425,540,588,s,645.00,-22.86%,-11.84%,-56.82%,-52.50%
2018,4,Waverley,Flat/Unit,2 Bedrooms,670,750,866,564.00,5669.00,0.00%,-1.32%,-17.54%,23.14%
2018,4,Waverley,Flat/Unit,3 Bedrooms,923,1100,1350,119.00,966.00,10.00%,0.00%,-3.25%,36.78%
2018,4,Waverley,Flat/Unit,4 or more Bedrooms,1238,1700,1930,s,89.00,41.67%,13.33%,100.00%,77.78%
2018,4,Woollahra,Total,Total,600,760,1150,837.00,8495.00,2.70%,-5.00%,-1.06%,19.23%
2018,4,Woollahra,Total,Bedsitter,326,400,594,s,274.00,5.26%,7.38%,-4.35%,-8.33%
2018,4,Woollahra,Total,1 Bedroom,440,525,604,168.00,1578.00,5.00%,-6.25%,-10.16%,30.23%
2018,4,Woollahra,Total,Not Specified,560,750,1050,47.00,928.00,0.00%,-3.85%,62.07%,9.30%
2018,4,Woollahra,Total,2 Bedrooms,650,740,850,371.00,3566.00,2.78%,-1.33%,0.82%,32.50%
2018,4,Woollahra,Total,3 Bedrooms,998,1250,1550,160.00,1596.00,6.38%,0.00%,-6.43%,-0.62%
2018,4,Woollahra,Total,4 or more Bedrooms,1650,2200,3000,69.00,553.00,10.00%,2.33%,1.47%,6.15%
2018,4,Woollahra,House,Total,996,1350,2200,142.00,890.00,14.89%,-3.57%,2.16%,17.36%
2018,4,Woollahra,House,Bedsitter,-,-,-,-,-,-,-,-,-
