Year,Quarter,Local Government Areas (LGAs),DwellingType,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2015.00,1.00,Blacktown,Total,490.00,585.00,707.00,603.00,-,5.10,21.90,-,-
2015.00,1.00,Blue Mountains,Total,411.00,490.00,590.00,509.00,-,3.20,9.60,-,-
2015.00,1.00,Camden,Total,540.00,620.00,680.00,627.00,-,7.30,18.60,-,-
2015.00,1.00,Campbelltown,Total,425.00,486.00,560.00,496.00,-,5.70,18.80,-,-
2015.00,1.00,Fairfield,Total,455.00,610.00,705.00,592.00,-,1.70,22.00,-,-
2015.00,1.00,Gosford,Total,438.00,522.00,649.00,565.00,-,2.40,13.50,-,-
2015.00,1.00,Hawkesbury,Total,465.00,530.00,650.00,579.00,-,0.20,10.00,-,-
2015.00,1.00,Holroyd,Total,460.00,637.00,770.00,631.00,-,-0.60,19.00,-,-
2015.00,1.00,Hornsby,Total,707.00,918.00,1205.00,985.00,-,-1.30,7.90,-,-
2015.00,1.00,Liverpool,Total,481.00,610.00,705.00,599.00,-,5.20,22.20,-,-
2015.00,1.00,Penrith,Total,450.00,530.00,605.00,534.00,-,8.20,21.60,-,-
2015.00,1.00,Pittwater,Total,830.00,1200.00,1400.00,1211.00,-,7.10,15.60,-,-
2015.00,1.00,Sutherland,Total,630.00,820.00,1025.00,865.00,-,-0.60,12.30,-,-
2015.00,1.00,Warringah,Total,650.00,1008.00,1320.00,1016.00,-,3.90,21.40,-,-
2015.00,1.00,Wollondilly,Total,458.00,590.00,756.00,631.00,-,3.50,14.90,-,-
2015.00,1.00,Wyong,Total,350.00,415.00,503.00,435.00,-,5.10,12.20,-,-
2015.00,1.00,Cessnock,Total,244.00,285.00,370.00,320.00,-,-6.10,2.70,-,-
2015.00,1.00,Kiama,Total,480.00,610.00,745.00,648.00,-,-0.30,1.70,-,-
2015.00,1.00,Lake Macquarie,Total,360.00,440.00,550.00,467.00,-,1.80,7.30,-,-
2015.00,1.00,Maitland,Total,318.00,376.00,458.00,403.00,-,1.60,3.00,-,-
2015.00,1.00,Newcastle,Total,375.00,447.00,540.00,466.00,-,-3.70,3.80,-,-
2015.00,1.00,Port Stephens,Total,325.00,415.00,527.00,438.00,-,5.10,6.40,-,-
2015.00,1.00,Shellharbour,Total,389.00,450.00,551.00,479.00,-,2.90,7.00,-,-
2015.00,1.00,Wollongong,Total,390.00,490.00,625.00,522.00,-,-1.10,11.30,-,-
2015.00,1.00,Ashfield,Non Strata,1263.00,1410.00,1812.00,1562.00,-,15.30,8.00,-,-
2015.00,1.00,Botany Bay,Non Strata,1012.00,1281.00,1410.00,1230.00,-,18.60,34.50,-,-
2015.00,1.00,Lane Cove,Non Strata,1650.00,1910.00,2250.00,1976.00,-,8.80,16.60,-,-
2015.00,1.00,Leichhardt,Non Strata,1170.00,1385.00,1730.00,1490.00,-,0.40,17.30,-,-
2015.00,1.00,Marrickville,Non Strata,938.00,1123.00,1337.00,1135.00,-,2.00,17.70,-,-
2015.00,1.00,Mosman,Non Strata,2220.00,2800.00,3580.00,3028.00,-,12.40,14.60,-,-
2015.00,1.00,North Sydney,Non Strata,1600.00,2100.00,2920.00,2338.00,-,16.30,17.50,-,-
2015.00,1.00,Randwick,Non Strata,1450.00,1650.00,2010.00,1766.00,-,4.80,4.40,-,-
2015.00,1.00,Sydney,Non Strata,1100.00,1380.00,1590.00,1386.00,-,17.40,25.50,-,-
2015.00,1.00,Waverley,Non Strata,1625.00,1910.00,2482.00,2133.00,-,-1.20,3.20,-,-
2015.00,1.00,Woollahra,Non Strata,1620.00,2300.00,3525.00,2790.00,-,-2.10,2.90,-,-
2015.00,1.00,Auburn,Non Strata,750.00,900.00,1105.00,913.00,-,-3.00,13.10,-,-
2015.00,1.00,Bankstown,Non Strata,708.00,798.00,880.00,788.00,-,4.40,19.00,-,-
2015.00,1.00,Burwood,Non Strata,1200.00,1400.00,1750.00,1444.00,-,6.90,9.40,-,-
2015.00,1.00,Canterbury,Non Strata,800.00,955.00,1135.00,955.00,-,9.80,15.10,-,-
2015.00,1.00,Canada Bay,Non Strata,1375.00,1600.00,1820.00,1614.00,-,9.20,25.50,-,-
2015.00,1.00,Hunters Hill,Non Strata,1575.00,1820.00,2575.00,2096.00,-,-24.20,14.30,-,-
2015.00,1.00,Hurstville,Non Strata,920.00,1073.00,1250.00,1094.00,-,4.90,12.90,-,-
2015.00,1.00,Kogarah,Non Strata,1003.00,1210.00,1455.00,1252.00,-,-6.90,12.00,-,-
2015.00,1.00,Ku-ring-gai,Non Strata,1430.00,1705.00,2138.00,1817.00,-,3.30,15.10,-,-
2015.00,1.00,Manly,Non Strata,1691.00,1865.00,2335.00,1977.00,-,11.20,14.80,-,-
2015.00,1.00,Parramatta,Non Strata,751.00,860.00,1003.00,897.00,-,2.40,15.00,-,-
2015.00,1.00,Rockdale,Non Strata,923.00,1100.00,1300.00,1102.00,-,9.60,18.70,-,-
2015.00,1.00,Ryde,Non Strata,1241.00,1400.00,1605.00,1456.00,-,7.60,21.70,-,-
2015.00,1.00,Strathfield,Non Strata,1136.00,1476.00,2205.00,1573.00,-,-10.60,2.80,-,-
2015.00,1.00,Willoughby,Non Strata,1555.00,1903.00,2300.00,1932.00,-,5.10,15.70,-,-
2015.00,1.00,The Hills Shire,Non Strata,945.00,1096.00,1305.00,1148.00,-,2.40,20.40,-,-
2015.00,1.00,Blacktown,Non Strata,533.00,615.00,735.00,636.00,-,3.40,21.80,-,-
2015.00,1.00,Blue Mountains,Non Strata,420.00,500.00,605.00,521.00,-,4.20,11.10,-,-
2015.00,1.00,Camden,Non Strata,545.00,621.00,685.00,635.00,-,6.20,17.20,-,-
2015.00,1.00,Campbelltown,Non Strata,455.00,510.00,580.00,525.00,-,6.70,19.90,-,-
2015.00,1.00,Fairfield,Non Strata,595.00,661.00,740.00,664.00,-,3.40,19.10,-,-
2015.00,1.00,Gosford,Non Strata,470.00,560.00,680.00,607.00,-,1.80,12.00,-,-
2015.00,1.00,Hawkesbury,Non Strata,480.00,558.00,700.00,606.00,-,1.10,11.60,-,-
2015.00,1.00,Holroyd,Non Strata,683.00,751.00,850.00,761.00,-,2.90,20.10,-,-
2015.00,1.00,Hornsby,Non Strata,932.00,1140.00,1340.00,1164.00,-,3.60,18.80,-,-
2015.00,1.00,Liverpool,Non Strata,590.00,650.00,745.00,667.00,-,3.20,16.60,-,-
2015.00,1.00,Penrith,Non Strata,507.00,560.00,630.00,575.00,-,7.70,18.40,-,-
2015.00,1.00,Pittwater,Non Strata,1159.00,1303.00,1500.00,1395.00,-,3.90,10.90,-,-
2015.00,1.00,Sutherland,Non Strata,875.00,1003.00,1230.00,1077.00,-,5.30,16.20,-,-
2015.00,1.00,Warringah,Non Strata,1176.00,1318.00,1470.00,1351.00,-,5.40,13.90,-,-
2015.00,1.00,Wollondilly,Non Strata,490.00,610.00,770.00,649.00,-,5.20,13.40,-,-
2015.00,1.00,Wyong,Non Strata,362.00,430.00,516.00,451.00,-,5.10,11.70,-,-
2015.00,1.00,Cessnock,Non Strata,246.00,295.00,380.00,329.00,-,-4.70,2.20,-,-
2015.00,1.00,Kiama,Non Strata,573.00,665.00,815.00,717.00,-,2.30,-0.70,-,-
2015.00,1.00,Lake Macquarie,Non Strata,369.00,456.00,565.00,478.00,-,2.50,8.60,-,-
2015.00,1.00,Maitland,Non Strata,325.00,380.00,465.00,395.00,-,1.60,1.30,-,-
2015.00,1.00,Newcastle,Non Strata,390.00,455.00,556.00,485.00,-,-4.80,1.10,-,-
2015.00,1.00,Port Stephens,Non Strata,355.00,435.00,550.00,458.00,-,3.60,3.60,-,-
2015.00,1.00,Shellharbour,Non Strata,403.00,484.00,585.00,500.00,-,5.20,10.80,-,-
2015.00,1.00,Wollongong,Non Strata,425.00,530.00,670.00,565.00,-,-1.50,11.50,-,-
2015.00,1.00,Ashfield,Strata,565.00,620.00,700.00,626.00,-,-3.90,4.10,-,-
2015.00,1.00,Botany Bay,Strata,538.00,630.00,785.00,661.00,-,0.00,0.40,-,-
2015.00,1.00,Lane Cove,Strata,578.00,649.00,744.00,673.00,-,-3.20,-0.20,-,-
2015.00,1.00,Leichhardt,Strata,600.00,838.00,1130.00,882.00,-,11.10,22.70,-,-
2015.00,1.00,Marrickville,Strata,580.00,661.00,720.00,652.00,-,6.50,10.10,-,-
2015.00,1.00,Mosman,Strata,601.00,763.00,945.00,810.00,-,-1.60,8.90,-,-
2015.00,1.00,North Sydney,Strata,675.00,846.00,1050.00,908.00,-,9.90,6.50,-,-
2015.00,1.00,Randwick,Strata,615.00,712.00,813.00,727.00,-,-5.10,2.40,-,-
2015.00,1.00,Sydney,Strata,605.00,756.00,925.00,809.00,-,0.80,6.80,-,-
2015.00,1.00,Waverley,Strata,760.00,930.00,1291.00,1530.00,-,8.10,15.20,-,-
2015.00,1.00,Woollahra,Strata,775.00,1010.00,1580.00,1259.00,-,2.00,9.30,-,-
2015.00,1.00,Auburn,Strata,465.00,543.00,634.00,556.00,-,3.30,20.60,-,-
2015.00,1.00,Bankstown,Strata,433.00,498.00,613.00,523.00,-,1.30,14.40,-,-
2015.00,1.00,Burwood,Strata,550.00,630.00,775.00,660.00,-,-8.00,5.00,-,-
2015.00,1.00,Canterbury,Strata,380.00,443.00,562.00,477.00,-,-2.70,5.90,-,-
2015.00,1.00,Canada Bay,Strata,683.00,798.00,930.00,825.00,-,0.40,14.60,-,-
2015.00,1.00,Hunters Hill,Strata,673.00,742.00,1065.00,847.00,-,-24.10,1.00,-,-
2015.00,1.00,Hurstville,Strata,500.00,590.00,712.00,609.00,-,0.50,11.30,-,-
2015.00,1.00,Kogarah,Strata,592.00,672.00,770.00,686.00,-,9.30,13.90,-,-
2015.00,1.00,Ku-ring-gai,Strata,660.00,765.00,956.00,832.00,-,0.80,8.40,-,-
2015.00,1.00,Manly,Strata,680.00,870.00,1250.00,1034.00,-,-1.40,1.50,-,-
2015.00,1.00,Parramatta,Strata,472.00,540.00,636.00,561.00,-,2.00,15.10,-,-
2015.00,1.00,Rockdale,Strata,550.00,630.00,705.00,637.00,-,9.40,16.70,-,-
2015.00,1.00,Ryde,Strata,545.00,630.00,730.00,641.00,-,1.60,4.80,-,-
2015.00,1.00,Strathfield,Strata,530.00,600.00,667.00,614.00,-,4.30,12.90,-,-
2015.00,1.00,Willoughby,Strata,668.00,778.00,880.00,806.00,-,-15.60,4.40,-,-
2015.00,1.00,The Hills Shire,Strata,600.00,700.00,785.00,693.00,-,4.50,15.70,-,-
2015.00,1.00,Blacktown,Strata,385.00,425.00,488.00,439.00,-,1.20,7.20,-,-
2015.00,1.00,Blue Mountains,Strata,300.00,319.00,366.00,324.00,-,-10.20,-1.10,-,-
2015.00,1.00,Camden,Strata,405.00,430.00,570.00,463.00,-,13.20,14.60,-,-
2015.00,1.00,Campbelltown,Strata,335.00,373.00,410.00,377.00,-,9.70,17.30,-,-
2015.00,1.00,Fairfield,Strata,362.00,397.00,450.00,405.00,-,5.90,22.20,-,-
2015.00,1.00,Gosford,Strata,355.00,424.00,490.00,436.00,-,9.00,14.00,-,-
2015.00,1.00,Hawkesbury,Strata,380.00,413.00,455.00,413.00,-,0.60,25.60,-,-
2015.00,1.00,Holroyd,Strata,420.00,460.00,500.00,472.00,-,7.20,17.90,-,-
2015.00,1.00,Hornsby,Strata,585.00,649.00,775.00,671.00,-,3.80,13.60,-,-
2015.00,1.00,Liverpool,Strata,350.00,396.00,448.00,404.00,-,-1.10,5.50,-,-
2015.00,1.00,Penrith,Strata,347.00,397.00,429.00,386.00,-,4.20,16.60,-,-
2015.00,1.00,Pittwater,Strata,670.00,720.00,830.00,748.00,-,0.00,9.60,-,-
2015.00,1.00,Sutherland,Strata,531.00,625.00,720.00,639.00,-,-0.80,12.60,-,-
2015.00,1.00,Warringah,Strata,573.00,650.00,730.00,678.00,-,0.80,7.40,-,-
2015.00,1.00,Wollondilly,Strata,305.00,349.00,400.00,357.00,-,-,21.30,-,-
2015.00,1.00,Wyong,Strata,274.00,320.00,403.00,344.00,-,3.20,6.70,-,-
2015.00,1.00,Cessnock,Strata,172.00,250.00,300.00,230.00,-,-15.30,8.70,-,-
2015.00,1.00,Kiama,Strata,330.00,441.00,540.00,453.00,-,4.80,2.40,-,-
2015.00,1.00,Lake Macquarie,Strata,315.00,361.00,430.00,378.00,-,3.10,3.10,-,-
2015.00,1.00,Maitland,Strata,285.00,350.00,398.00,466.00,-,22.80,14.80,-,-
2015.00,1.00,Newcastle,Strata,315.00,393.00,480.00,400.00,-,-3.10,-1.60,-,-
2015.00,1.00,Port Stephens,Strata,285.00,330.00,408.00,363.00,-,-4.30,-2.70,-,-
2015.00,1.00,Shellharbour,Strata,343.00,377.00,414.00,375.00,-,8.60,18.70,-,-
2015.00,1.00,Wollongong,Strata,355.00,417.00,520.00,440.00,-,-2.00,4.80,-,-
2015.00,1.00,Goulburn - Yass,Total,233.00,305.00,409.00,348.00,-,-4.70,3.40,-,-
2015.00,1.00,Queanbeyan,Total,350.00,488.00,620.00,498.00,-,4.30,10.40,-,-
2015.00,1.00,Snowy Mountains,Total,193.00,267.00,360.00,324.00,-,-1.80,-0.20,-,-
2015.00,1.00,South Coast,Total,298.00,365.00,462.00,385.00,-,1.40,3.20,-,-
2015.00,1.00,Bathurst,Total,270.00,332.00,370.00,321.00,-,0.60,1.40,-,-
2015.00,1.00,Lachlan Valley,Total,157.00,225.00,280.00,244.00,-,10.60,36.40,-,-
2015.00,1.00,Lithgow - Mudgee,Total,200.00,278.00,374.00,305.00,-,-0.70,-0.70,-,-
2015.00,1.00,Orange,Total,250.00,314.00,422.00,340.00,-,-4.90,-0.10,-,-
2015.00,1.00,Clarence Valley,Total,250.00,310.00,380.00,325.00,-,-2.60,-44.20,-,-
2015.00,1.00,Coffs Harbour,Total,307.00,385.00,487.00,405.00,-,1.80,3.20,-,-
2015.00,1.00,Bourke - Cobar - Coonamble,Total,60.00,130.00,200.00,176.00,-,-14.80,18.20,-,-
2015.00,1.00,Broken Hill and Far West,Total,77.00,131.00,220.00,150.00,-,4.80,35.10,-,-
2015.00,1.00,Dubbo,Total,210.00,275.00,355.00,290.00,-,-0.50,5.80,-,-
2015.00,1.00,Lower Hunter,Total,252.00,320.00,429.00,362.00,-,-3.00,3.20,-,-
2015.00,1.00,Upper Hunter,Total,243.00,303.00,368.00,332.00,-,-5.50,0.80,-,-
2015.00,1.00,Great Lakes,Total,289.00,349.00,464.00,384.00,-,1.20,9.10,-,-
2015.00,1.00,Kempsey - Nambucca,Total,225.00,285.00,365.00,301.00,-,-1.70,-5.00,-,-
2015.00,1.00,Port Macquarie,Total,329.00,399.00,489.00,418.00,-,-4.00,0.90,-,-
2015.00,1.00,Taree - Gloucester,Total,253.00,328.00,420.00,352.00,-,6.70,23.30,-,-
2015.00,1.00,Albury,Total,205.00,273.00,358.00,291.00,-,4.00,5.50,-,-
2015.00,1.00,Lower Murray,Total,110.00,165.00,331.00,224.00,-,-8.30,-31.30,-,-
2015.00,1.00,Upper Murray exc. Albury,Total,160.00,220.00,298.00,242.00,-,-13.20,2.30,-,-
2015.00,1.00,Armidale,Total,259.00,346.00,435.00,368.00,-,8.90,20.30,-,-
2015.00,1.00,Inverell - Tenterfield,Total,171.00,250.00,655.00,380.00,-,-5.70,32.60,-,-
2015.00,1.00,Moree - Narrabri,Total,175.00,270.00,374.00,292.00,-,0.40,10.20,-,-
2015.00,1.00,Tamworth - Gunnedah,Total,230.00,305.00,382.00,327.00,-,5.00,6.80,-,-
2015.00,1.00,Richmond Valley - Coastal,Total,420.00,530.00,673.00,584.00,-,6.00,11.60,-,-
2015.00,1.00,Richmond Valley - Hinterland,Total,240.00,305.00,400.00,341.00,-,-3.20,-2.20,-,-
2015.00,1.00,Tweed Valley,Total,326.00,422.00,538.00,442.00,-,1.70,5.50,-,-
2015.00,1.00,Griffith - Murrumbidgee (West),Total,160.00,228.00,298.00,238.00,-,-10.80,5.60,-,-
2015.00,1.00,Tumut - Tumbarumba,Total,150.00,208.00,370.00,248.00,-,-4.60,1.70,-,-
2015.00,1.00,Wagga Wagga,Total,208.00,270.00,370.00,297.00,-,-0.90,-1.80,-,-
2015.00,1.00,Shoalhaven,Total,301.00,375.00,465.00,407.00,-,0.30,3.40,-,-
2015.00,1.00,Southern Highlands,Total,428.00,600.00,780.00,644.00,-,7.00,16.50,-,-
2015.00,1.00,Goulburn - Yass,Non Strata,240.00,314.00,415.00,353.00,-,-3.40,4.60,-,-
2015.00,1.00,Queanbeyan,Non Strata,428.00,540.00,689.00,561.00,-,-1.60,0.90,-,-
2015.00,1.00,Snowy Mountains,Non Strata,215.00,313.00,425.00,377.00,-,4.20,17.90,-,-
2015.00,1.00,South Coast,Non Strata,316.00,380.00,470.00,400.00,-,0.70,2.70,-,-
2015.00,1.00,Bathurst,Non Strata,285.00,339.00,373.00,332.00,-,-1.50,-0.30,-,-
2015.00,1.00,Lachlan Valley,Non Strata,155.00,225.00,280.00,237.00,-,12.50,36.90,-,-
2015.00,1.00,Lithgow - Mudgee,Non Strata,203.00,280.00,380.00,309.00,-,-0.20,0.20,-,-
2015.00,1.00,Orange,Non Strata,265.00,320.00,427.00,347.00,-,-6.40,0.60,-,-
2015.00,1.00,Clarence Valley,Non Strata,255.00,320.00,385.00,334.00,-,0.30,0.00,-,-
2015.00,1.00,Coffs Harbour,Non Strata,350.00,429.00,522.00,451.00,-,3.40,4.60,-,-
2015.00,1.00,Bourke - Cobar - Coonamble,Non Strata,60.00,130.00,195.00,168.00,-,-14.90,20.90,-,-
2015.00,1.00,Broken Hill and Far West,Non Strata,75.00,117.00,220.00,149.00,-,-6.80,20.10,-,-
2015.00,1.00,Dubbo,Non Strata,210.00,280.00,355.00,282.00,-,-0.20,6.30,-,-
2015.00,1.00,Lower Hunter,Non Strata,260.00,322.00,430.00,360.00,-,-2.40,2.20,-,-
2015.00,1.00,Upper Hunter,Non Strata,245.00,320.00,375.00,336.00,-,0.00,11.10,-,-
2015.00,1.00,Great Lakes,Non Strata,300.00,373.00,491.00,401.00,-,2.10,6.40,-,-
2015.00,1.00,Kempsey - Nambucca,Non Strata,229.00,285.00,360.00,299.00,-,-5.00,-5.00,-,-
2015.00,1.00,Port Macquarie,Non Strata,373.00,436.00,532.00,458.00,-,-3.20,1.40,-,-
2015.00,1.00,Taree - Gloucester,Non Strata,275.00,355.00,430.00,365.00,-,10.90,27.00,-,-
2015.00,1.00,Albury,Non Strata,222.00,292.00,365.00,304.00,-,-2.70,10.20,-,-
2015.00,1.00,Lower Murray,Non Strata,120.00,180.00,313.00,216.00,-,-3.50,-24.50,-,-
2015.00,1.00,Upper Murray exc. Albury,Non Strata,162.00,228.00,310.00,250.00,-,-12.80,3.40,-,-
2015.00,1.00,Armidale,Non Strata,266.00,356.00,450.00,376.00,-,11.30,19.10,-,-
2015.00,1.00,Inverell - Tenterfield,Non Strata,145.00,202.00,268.00,233.00,-,-6.00,7.20,-,-
2015.00,1.00,Moree - Narrabri,Non Strata,195.00,270.00,374.00,297.00,-,0.00,10.20,-,-
2015.00,1.00,Tamworth - Gunnedah,Non Strata,230.00,303.00,378.00,315.00,-,4.30,4.30,-,-
2015.00,1.00,Richmond Valley - Coastal,Non Strata,475.00,595.00,735.00,640.00,-,9.60,13.30,-,-
2015.00,1.00,Richmond Valley - Hinterland,Non Strata,255.00,313.00,390.00,332.00,-,-2.30,-0.10,-,-
2015.00,1.00,Tweed Valley,Non Strata,419.00,495.00,610.00,517.00,-,4.80,10.00,-,-
2015.00,1.00,Griffith - Murrumbidgee (West),Non Strata,160.00,228.00,300.00,238.00,-,-11.60,2.20,-,-
2015.00,1.00,Tumut - Tumbarumba,Non Strata,153.00,213.00,370.00,252.00,-,-0.60,-0.70,-,-
2015.00,1.00,Wagga Wagga,Non Strata,215.00,278.00,374.00,302.00,-,-0.40,-1.60,-,-
2015.00,1.00,Shoalhaven,Non Strata,310.00,380.00,470.00,413.00,-,0.00,2.70,-,-
2015.00,1.00,Southern Highlands,Non Strata,442.00,605.00,795.00,640.00,-,6.10,16.90,-,-
2015.00,1.00,Goulburn - Yass,Strata,175.00,208.00,230.00,269.00,-,-3.70,-,-,-
2015.00,1.00,Queanbeyan,Strata,220.00,303.00,360.00,294.00,-,-8.90,-5.50,-,-
2015.00,1.00,Snowy Mountains,Strata,157.00,205.00,268.00,211.00,-,2.50,-23.80,-,-
2015.00,1.00,South Coast,Strata,213.00,270.00,355.00,314.00,-,14.90,12.50,-,-
2015.00,1.00,Bathurst,Strata,188.00,226.00,300.00,242.00,-,-7.10,-8.90,-,-
2015.00,1.00,Lachlan Valley,Strata,-,-,-,-,-,-,-,-,-
2015.00,1.00,Lithgow - Mudgee,Strata,-,-,-,-,-,-,-,-,-
2015.00,1.00,Orange,Strata,175.00,200.00,254.00,218.00,-,0.20,-,-,-
2015.00,1.00,Clarence Valley,Strata,220.00,269.00,300.00,270.00,-,-14.60,-63.00,-,-
2015.00,1.00,Coffs Harbour,Strata,215.00,267.00,334.00,288.00,-,1.00,-2.90,-,-
2015.00,1.00,Bourke - Cobar - Coonamble,Strata,-,-,-,-,-,-,-,-,-
2015.00,1.00,Broken Hill and Far West,Strata,-,-,-,-,-,-,-,-,-
2015.00,1.00,Dubbo,Strata,-,-,-,-,-,-,-,-,-
2015.00,1.00,Lower Hunter,Strata,205.00,260.00,385.00,387.00,-,-11.90,10.90,-,-
2015.00,1.00,Upper Hunter,Strata,-,-,-,-,-,-,-,-,-
2015.00,1.00,Great Lakes,Strata,259.00,330.00,385.00,346.00,-,8.20,26.90,-,-
2015.00,1.00,Kempsey - Nambucca,Strata,180.00,250.00,429.00,313.00,-,14.30,5.00,-,-
2015.00,1.00,Port Macquarie,Strata,257.00,295.00,350.00,309.00,-,-5.10,-3.10,-,-
2015.00,1.00,Taree - Gloucester,Strata,175.00,253.00,298.00,275.00,-,2.80,37.90,-,-
2015.00,1.00,Albury,Strata,150.00,205.00,280.00,244.00,-,15.20,14.50,-,-
2015.00,1.00,Lower Murray,Strata,-,-,-,-,-,-,-,-,-
2015.00,1.00,Upper Murray exc. Albury,Strata,140.00,170.00,225.00,183.00,-,-19.60,-16.50,-,-
2015.00,1.00,Armidale,Strata,-,-,-,-,-,-,-,-,-
2015.00,1.00,Inverell - Tenterfield,Strata,665.00,805.00,832.00,723.00,-,1.70,-,-,-
2015.00,1.00,Moree - Narrabri,Strata,-,-,-,-,-,-,-,-,-
2015.00,1.00,Tamworth - Gunnedah,Strata,252.00,525.00,750.00,565.00,-,69.40,183.80,-,-
2015.00,1.00,Richmond Valley - Coastal,Strata,320.00,423.00,530.00,467.00,-,-1.60,11.00,-,-
2015.00,1.00,Richmond Valley - Hinterland,Strata,176.00,279.00,615.00,383.00,-,9.20,1.00,-,-
2015.00,1.00,Tweed Valley,Strata,283.00,323.00,397.00,347.00,-,-2.00,-3.30,-,-
2015.00,1.00,Griffith - Murrumbidgee (West),Strata,-,-,-,-,-,-,-,-,-
2015.00,1.00,Tumut - Tumbarumba,Strata,-,-,-,-,-,-,-,-,-
2015.00,1.00,Wagga Wagga,Strata,194.00,228.00,275.00,256.00,-,-8.10,6.30,-,-
2015.00,1.00,Shoalhaven,Strata,258.00,295.00,350.00,321.00,-,11.20,19.90,-,-
2015.00,1.00,Southern Highlands,Strata,379.00,496.00,700.00,677.00,-,-5.60,-2.80,-,-
2018.00,4.00,Total,Total,800.00,1140.00,1700.00,1478.00,2918.00,-0.03,-0.09,-0.04,-0.22
2018.00,4.00,Total,Non Strata,1360.00,1803.00,2576.00,2321.00,964.00,-0.10,-0.14,-0.01,-0.24
2018.00,4.00,Total,Strata,718.00,900.00,1231.00,1062.00,1954.00,-0.03,-0.07,-0.05,-0.21
2018.00,4.00,Inner West,Total,780.00,1118.00,1443.00,1164.00,584.00,-0.04,-0.13,-0.10,-0.24
2018.00,4.00,Inner West,Non Strata,1200.00,1380.00,1685.00,1458.00,331.00,-0.06,-0.10,0.01,-0.24
2018.00,4.00,Inner West,Strata,630.00,738.00,870.00,780.00,253.00,-0.04,-0.07,-0.22,-0.24
2018.00,4.00,Lane Cove,Total,690.00,867.00,1859.00,1364.00,162.00,-0.07,-0.24,-0.03,-0.35
2018.00,4.00,Lane Cove,Non Strata,2020.00,2650.00,3106.00,2585.00,50.00,0.20,-0.05,-0.14,-0.49
2018.00,4.00,Lane Cove,Strata,654.00,745.00,876.00,820.00,112.00,-0.01,-0.07,0.03,-0.25
2018.00,4.00,Mosman,Total,848.00,1465.00,2825.00,2329.00,132.00,-0.28,-0.13,0.35,-0.21
2018.00,4.00,Mosman,Non Strata,2800.00,3700.00,6000.00,4565.00,45.00,-0.10,-0.09,-0.02,-0.25
2018.00,4.00,Mosman,Strata,751.00,915.00,1433.00,1172.00,87.00,-0.12,-0.18,0.67,-0.19
2018.00,4.00,North Sydney,Total,851.00,1198.00,1779.00,1474.00,330.00,-0.02,0.00,0.03,-0.14
2018.00,4.00,North Sydney,Non Strata,1764.00,2278.00,3188.00,2574.00,54.00,-0.12,-0.14,0.08,0.00
2018.00,4.00,North Sydney,Strata,804.00,1070.00,1513.00,1259.00,276.00,-0.04,-0.06,0.02,-0.16
2018.00,4.00,Randwick,Total,841.00,1200.00,1804.00,1428.00,322.00,-0.14,-0.18,-0.11,-0.30
2018.00,4.00,Randwick,Non Strata,1611.00,1961.00,2540.00,2112.00,135.00,-0.12,-0.18,-0.08,-0.31
2018.00,4.00,Randwick,Strata,750.00,865.00,1050.00,934.00,187.00,-0.04,-0.09,-0.12,-0.29
2018.00,4.00,Sydney,Total,720.00,975.00,1315.00,1111.00,845.00,0.02,-0.06,-0.08,-0.24
2018.00,4.00,Sydney,Non Strata,1168.00,1470.00,1850.00,1574.00,163.00,-0.05,-0.12,0.16,-0.14
2018.00,4.00,Sydney,Strata,685.00,870.00,1168.00,1000.00,682.00,-0.03,-0.03,-0.12,-0.26
2018.00,4.00,Waverley,Total,938.00,1380.00,2100.00,1642.00,288.00,-0.11,-0.11,0.06,-0.06
2018.00,4.00,Waverley,Non Strata,2076.00,2568.00,3300.00,2712.00,90.00,-0.03,-0.15,-0.05,-0.17
2018.00,4.00,Waverley,Strata,826.00,1105.00,1400.00,1156.00,198.00,-0.06,-0.01,0.12,0.00
2018.00,4.00,Woollahra,Total,1076.00,1750.00,3665.00,2928.00,255.00,-0.09,-0.24,0.01,-0.16
2018.00,4.00,Woollahra,Non Strata,2560.00,4258.00,6525.00,5165.00,96.00,0.12,-0.08,-0.12,-0.22
2018.00,4.00,Woollahra,Strata,946.00,1260.00,1828.00,1577.00,159.00,-0.09,-0.14,0.11,-0.12
2018.00,4.00,Total,Total,670.00,860.00,1260.00,1051.00,4032.00,-0.01,-0.03,-0.10,-0.33
2018.00,4.00,Total,Non Strata,900.00,1200.00,1683.00,1387.00,1935.00,-0.04,-0.12,-0.01,-0.26
2018.00,4.00,Total,Strata,570.00,687.00,848.00,741.00,2097.00,-0.02,-0.03,-0.17,-0.38
2018.00,4.00,Bayside,Total,650.00,798.00,1040.00,882.00,434.00,-0.02,-0.04,-0.13,-0.41
2018.00,4.00,Bayside,Non Strata,1020.00,1183.00,1404.00,1222.00,146.00,-0.10,-0.15,0.07,-0.31
2018.00,4.00,Bayside,Strata,599.00,694.00,800.00,709.00,288.00,-0.04,-0.05,-0.20,-0.44
2018.00,4.00,Burwood,Total,771.00,1066.00,1430.00,1147.00,111.00,0.25,0.13,0.26,-0.20
2018.00,4.00,Burwood,Non Strata,1250.00,1520.00,1895.00,1583.00,45.00,0.03,-0.05,0.50,0.05
